OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,50,13295,13484,50,29000,119350,2,2,27100,0,2,99,284889,19916,21689
1,-,-,-,-,-,50,12797,12958,25,29500,45525,2,2,35925,0,2,95,82689,4790,5083
110,-,1,-,12300,100,50,12297,12509,75,30000,34525,2,2,49425,0,2,91,64992,4625,5452
-,-,-,-,-,-,50,11800,12763,875,30500,10625,2,2,17625,0,2,87,55043,4032,4205
53,-,-,-,-,-,25,11347,11465,125,31000,67725,2,2,11150,0,2,83,31694,1387,1880
4,-,-,-,-,-,50,10802,10984,100,31500,19975,2,2,750,0,2,79,17705,689,701
31,-,-,-,-,-,125,10283,10461,100,32000,2175,2,2,6850,0,2,75,11443,1397,2271
-,-,-,-,-,-,50,9798,10017,225,32500,3500,2,2,1200,-1,2,71,4740,123,158
59,-14,16,-,9380,-129,125,9364,9495,650,33000,1875,2,2,400,-1,2,68,4844,58,1187
144,-2,4,-,8850,750,125,8831,9007,625,33500,2475,2,2,400,-1,2,64,5115,62,424
577,-4,15,71,8400,-70,125,8394,8454,125,34000,975,2,2,2000,-1,2,61,3922,39,2691
270,-1,3,-,7883,-112,125,7878,7948,125,34500,450,2,2,150,-1,2,57,2146,65,1046
1398,-14,93,-,7380,-95,125,7404,7454,25,35000,1850,2,2,1550,-1,2,54,5960,734,5239
-,-,-,-,-,-,750,7199,7421,900,35100,450,3,3,800,0,3,56,138,68,105
-,-,-,-,-,-,750,7091,8030,750,35200,50,2,-,-,-1,2,52,16,-6,11
-,-,-,-,-,-,750,6941,7233,50,35300,600,2,-,-,-,-,-,-,-,18
-,-,-,-,-,-,750,6896,7125,900,35400,200,2,3,425,-1,3,52,42,-1,40
255,-,5,56,6900,-120,125,6905,6933,50,35500,550,2,3,1350,-1,2,51,2075,99,1458
5,-,-,-,-,-,750,6690,6933,50,35600,225,2,-,-,-,-,-,-,-,22
-,-,-,-,-,-,750,6590,6833,50,35700,600,2,-,-,-,-,-,-,-,25
-,-,-,-,-,-,750,6393,6718,900,35800,50,3,3,550,0,3,50,130,-8,73
-,-,-,-,-,-,750,6391,6735,750,35900,100,3,-,-,0,3,48,121,8,100
1884,-20,45,-,6312,-236,50,6412,6431,25,36000,3000,3,3,200,-1,3,47,8520,331,6096
-,-,-,-,-,-,750,6202,6412,900,36100,200,2,3,25,0,4,48,243,12,100
-,-,-,-,-,-,750,6098,6316,900,36200,100,3,3,50,-2,3,46,359,8,69
-,-,-,-,-,-,750,6003,6214,900,36300,900,2,3,50,-2,2,45,306,21,84
-,-,-,-,-,-,750,5903,6112,900,36400,250,3,3,150,-4,3,45,376,3,127
343,-8,15,-,5892,-208,50,5910,5932,25,36500,1375,3,3,125,-1,3,44,6126,651,2711
2,-,-,-,-,-,750,5729,5863,200,36600,75,3,3,100,-1,3,43,1574,109,177
-,-,-,-,-,-,750,5630,5759,200,36700,75,3,3,125,-1,3,43,684,41,91
2,-,-,-,-,-,750,5531,5712,200,36800,50,3,3,125,-2,3,42,1065,10,137
3,-,-,-,-,-,750,5403,5615,900,36900,200,2,3,25,-3,3,42,576,41,107
1174,-46,70,49,5410,-147,25,5415,5433,25,37000,2450,3,3,450,-1,3,41,23816,2991,13658
-,-,-,-,-,-,125,5245,5367,450,37100,50,2,3,50,0,3,41,964,66,147
2,-,-,-,-,-,325,5148,5263,450,37200,25,3,3,50,-1,3,39,764,34,247
2,-,-,-,-,-,125,5048,5193,450,37300,50,3,3,50,-1,3,39,782,-49,102
3,-,-,-,-,-,750,4932,5063,450,37400,2500,3,3,100,-2,3,38,663,36,123
403,-23,29,-,4883,-210,125,4917,4937,125,37500,100,3,3,475,-1,3,38,14223,-649,4795
1,-,-,-,-,-,750,4736,4891,450,37600,125,3,3,50,-2,3,37,1303,71,154
2,-,-,-,-,-,750,4619,4804,500,37700,25,3,3,75,-2,3,36,1362,-19,238
3,-,-,-,-,-,750,4536,4658,325,37800,25,3,3,400,-2,3,35,1677,40,208
7,-,-,-,-,-,750,4437,4567,450,37900,100,3,3,100,-1,3,35,1473,57,238
1589,-34,38,-,4318,-187,150,4418,4434,25,38000,350,3,4,550,-2,3,34,43278,-612,12487
13,-,-,-,-,-,750,4239,4356,200,38100,250,3,4,200,-2,4,33,3064,24,432
7,-,-,-,-,-,750,4139,4256,200,38200,25,4,4,325,-2,4,33,2367,222,362
13,-,-,-,-,-,750,4041,4163,400,38300,100,4,4,75,-2,4,32,3482,-36,262
8,-,-,-,-,-,750,3942,4063,450,38400,225,4,4,50,-2,4,32,2617,15,220
636,-8,33,-,3808,-216,50,3920,3938,25,38500,2850,4,4,375,-2,4,31,62458,4451,15455
29,-1,5,-,3780,-180,75,3793,3878,450,38600,1475,4,4,825,-2,4,30,5607,250,787
36,-,2,-,3650,-200,750,3644,3761,450,38700,1775,4,4,2200,-2,4,30,5131,294,580
103,-,-,-,-,-,25,3589,3707,675,38800,3125,4,4,1100,-2,4,29,4575,133,899
26,-,2,57,3676,439,125,3462,3564,450,38900,50,4,4,875,-2,4,28,9439,643,908
1825,-96,238,-,3425,-99,50,3428,3438,25,39000,6350,4,4,650,-2,4,28,112607,5477,31149
36,-,1,48,3413,57,50,3305,3393,675,39100,25,4,5,375,-2,4,27,6939,578,1147
116,-,1,48,3320,20,325,3205,3287,925,39200,975,4,4,25,-3,4,26,12012,813,2344
92,-,1,-,3100,-181,150,3116,3164,450,39300,550,5,5,625,-3,5,26,11627,127,1304
60,-3,4,-,2996,-115,150,3007,3095,1175,39400,675,5,5,1475,-3,5,25,12295,85,1342
1817,-56,87,27,2915,-115,50,2926,2942,25,39500,1600,5,5,2375,-3,5,24,103266,3780,24398
173,-5,6,37,2867,-60,175,2807,2900,925,39600,3125,5,5,100,-3,5,24,13600,1206,2745
642,-85,90,-,2635,-178,50,2729,2774,300,39700,25,5,5,1300,-4,5,23,24315,-4155,3185
431,-14,26,15,2601,-120,75,2606,2643,25,39800,975,6,6,1050,-4,6,23,29258,-752,4198
604,-29,46,-,2484,-265,125,2460,2576,50,39900,25,6,6,2075,-4,6,22,34251,-618,4050
29546,-636,1415,-,2428,-121,125,2430,2433,100,40000,650,6,6,4275,-4,6,21,222657,10651,71110
642,-65,70,-,2256,-175,50,2314,2354,50,40100,300,7,7,1175,-5,7,21,42916,630,4182
627,-25,35,23,2220,-97,25,2219,2253,25,40200,325,7,7,3050,-5,7,20,47930,2208,7079
334,-7,13,-,2085,-145,125,2132,2140,25,40300,3125,8,8,825,-5,8,20,51376,4584,8496
693,-10,19,-,1937,-200,225,2033,2045,25,40400,375,9,9,2025,-6,9,19,71739,5195,9280
3267,19,392,20,1917,-138,25,1935,1940,25,40500,1975,9,10,3225,-7,10,19,264302,23729,58142
513,27,66,-,1797,-173,75,1835,1844,125,40600,2050,10,10,975,-8,10,18,77948,2901,7753
504,-7,47,-,1618,-198,125,1737,1747,25,40700,1150,11,11,800,-8,11,18,80730,2397,7931
454,-21,92,-,1631,-155,50,1640,1647,25,40800,1700,13,13,1400,-10,13,17,125817,4013,12063
346,-12,27,-,1438,-221,375,1541,1550,100,40900,1525,15,15,775,-11,15,17,104165,5785,11519
7786,-874,5048,15,1440,-122,100,1445,1450,50,41000,1500,17,17,2675,-12,17,16,468526,21473,71210
423,-29,289,14,1335,-135,50,1349,1354,150,41100,1175,20,20,1625,-15,20,16,136278,7093,13565
893,-187,621,13,1214,-145,150,1252,1258,25,41200,50,24,24,1175,-17,24,16,188549,10815,22299
1258,-76,987,14,1140,-131,50,1149,1153,25,41300,875,29,29,950,-19,29,15,233149,4373,20774
1127,-62,946,14,1063,-105,50,1066,1070,50,41400,1600,38,38,175,-18,38,15,249299,-28,23151
12775,25,19380,15,976,-115,50,976,978,25,41500,950,47,47,250,-19,47,15,652929,29820,84229
1669,-4,2992,15,882,-114,25,885,887,25,41600,50,55,55,325,-23,55,14,393176,14957,26714
1638,551,4309,15,800,-115,50,798,800,50,41700,50,68,68,850,-24,68,14,388511,13388,25129
2943,1610,20006,14,715,-118,25,715,716,25,41800,125,84,84,25,-26,84,14,509805,15378,30883
3655,2183,28635,14,636,-117,25,635,636,25,41900,550,104,104,625,-25,104,14,477131,14287,24108
30705,11108,290595,14,560,-113,100,559,560,25,42000,125,127,127,25,-23,127,14,1171467,30383,97411
14580,11294,157446,14,489,-109,75,488,489,25,42100,125,156,156,125,-22,156,14,579107,20090,29056
33034,24424,533251,14,424,-107,25,423,424,175,42200,25,189,189,75,-20,189,14,1014285,42967,60246
76501,62213,1234044,14,362,-109,25,362,363,175,42300,150,229,229,25,-16,229,14,1705781,53308,76607
98032,76935,1468812,14,306,-99,25,306,306,25,42400,100,272,272,125,-11,272,13,1775389,29048,56763
213546,143116,2394623,13,255,-96,25,255,255,25,42500,50,323,323,75,-1,323,13,2418797,59171,109889
87843,59525,1161542,13,210,-91,50,210,211,25,42600,50,377,378,25,8,377,13,984368,16571,31341
52615,36504,780233,13,171,-81,100,170,171,50,42700,25,437,437,25,14,437,13,472791,8152,13158
51950,34996,702631,13,136,-72,175,136,136,25,42800,100,503,504,25,22,503,13,246720,6239,10228
38744,26362,509995,13,106,-63,50,106,106,325,42900,25,573,574,50,30,574,13,123073,5140,6712
120829,52587,1035548,13,82,-55,275,82,82,50,43000,75,650,651,125,39,649,13,164512,4634,17212
37803,27464,460037,13,64,-44,125,64,64,50,43100,25,730,731,75,54,732,13,12410,1516,2035
46325,22676,498740,13,49,-37,375,49,49,50,43200,150,814,817,25,56,815,14,5515,220,821
33388,19188,455548,13,38,-29,50,38,38,75,43300,75,902,905,25,74,913,14,3166,266,646
30931,15704,417413,13,30,-21,150,30,30,1475,43400,50,993,999,25,83,1007,14,2187,179,453
81040,29641,735078,13,24,-17,25,24,24,1425,43500,25,1090,1092,25,85,1097,13,12007,505,3035
28335,10865,294175,14,19,-13,700,19,19,1225,43600,50,1183,1187,50,84,1192,15,338,13,128
19925,8454,203478,14,16,-9,550,16,16,1000,43700,275,1275,1283,50,201,1298,12,303,57,66
22209,-124,196873,14,13,-7,300,13,13,625,43800,275,1376,1382,100,78,1395,11,64,20,60
15812,3250,126438,15,11,-5,1225,11,11,3050,43900,25,1473,1480,50,-2628,1495,17,83,13,13
84732,31784,423757,15,10,-4,7275,10,10,3500,44000,25,1572,1576,25,91,1572,17,1124,-69,1611
9090,5127,85424,16,9,-3,3925,9,9,5100,44100,125,1658,1695,50,-2537,1735,22,39,8,8
10503,512,83234,16,8,-2,75,8,8,725,44200,125,1757,1796,225,129,1819,20,23,3,5
9638,4998,87012,17,7,-2,2400,7,7,675,44300,50,1866,1882,225,162,1935,24,24,2,2
9132,6473,75093,17,7,-2,7025,7,7,3025,44400,250,1917,1993,25,189,2061,28,11,1,4
65381,30843,263377,18,6,-2,2725,6,6,2675,44500,250,2064,2072,50,199,2075,30,32,1,228
61055,25278,253179,21,5,-1,5575,5,5,1450,45000,50,2562,2574,50,112,2599,22,105,-4,944
32667,21640,153061,24,4,0,1975,4,4,4675,45500,25,3049,3075,25,7,2945,-,13,-1,267
18221,5975,116112,26,4,-1,5750,4,4,8250,46000,2075,3553,3571,25,98,3595,28,17,-,492
11293,5554,70788,29,4,0,800,4,4,1800,46500,75,4045,4075,25,173,4132,42,66,-27,481
10920,8107,79252,32,4,0,2025,4,4,575,47000,25,4536,4578,75,126,4596,39,12,4,11
23579,20006,166400,35,3,0,5000,3,3,25,47500,75,4997,5083,75,-,-,-,-,-,-
